flair,topic,count
AskIndia,topic-1,125627
AskIndia,topic-2,104237
AskIndia,topic-7,53141
AskIndia,topic-5,44843
AskIndia,topic-3,42411
AskIndia,topic-11,39414
AskIndia,topic-8,36604
AskIndia,topic-4,26452
AskIndia,topic-10,24510
AskIndia,topic-17,22599
AskIndia,topic-13,20938
AskIndia,topic-6,15884
AskIndia,topic-21,15446
AskIndia,topic-19,13874
AskIndia,topic-18,10593
AskIndia,topic-23,10413
AskIndia,topic-16,10212
AskIndia,topic-25,5464
AskIndia,topic-14,5347
AskIndia,topic-12,5276
AskIndia,topic-24,5062
AskIndia,topic-9,4214
AskIndia,topic-22,3868
AskIndia,topic-15,3604
AskIndia,topic-20,1607
Business/Finance,topic-2,14767
Business/Finance,topic-1,13489
Business/Finance,topic-6,9644
Business/Finance,topic-5,9609
Business/Finance,topic-7,9100
Business/Finance,topic-3,7180
Business/Finance,topic-10,7171
Business/Finance,topic-21,6345
Business/Finance,topic-4,5757
Business/Finance,topic-11,3353
Business/Finance,topic-17,3235
Business/Finance,topic-18,3047
Business/Finance,topic-19,2701
Business/Finance,topic-24,2635
Business/Finance,topic-13,2380
Business/Finance,topic-8,1925
Business/Finance,topic-16,1865
Business/Finance,topic-12,1862
Business/Finance,topic-9,1776
Business/Finance,topic-14,1005
Business/Finance,topic-15,886
Business/Finance,topic-25,868
Business/Finance,topic-22,751
Business/Finance,topic-23,469
Business/Finance,topic-20,139
Coronavirus,topic-4,11611
Coronavirus,topic-1,10061
Coronavirus,topic-2,9038
Coronavirus,topic-5,6554
Coronavirus,topic-7,4872
Coronavirus,topic-8,4554
Coronavirus,topic-10,3827
Coronavirus,topic-21,2483
Coronavirus,topic-6,2331
Coronavirus,topic-13,2151
Coronavirus,topic-11,1729
Coronavirus,topic-3,1361
Coronavirus,topic-19,1246
Coronavirus,topic-17,1174
Coronavirus,topic-18,1027
Coronavirus,topic-16,946
Coronavirus,topic-12,526
Coronavirus,topic-23,525
Coronavirus,topic-25,521
Coronavirus,topic-15,347
Coronavirus,topic-22,325
Coronavirus,topic-9,250
Coronavirus,topic-24,245
Coronavirus,topic-14,194
Coronavirus,topic-20,108
NonPolitical,topic-1,99864
NonPolitical,topic-2,89527
NonPolitical,topic-7,55081
NonPolitical,topic-5,47094
NonPolitical,topic-10,31356
NonPolitical,topic-4,30435
NonPolitical,topic-8,28905
NonPolitical,topic-3,28186
NonPolitical,topic-11,26708
NonPolitical,topic-6,21575
NonPolitical,topic-21,19431
NonPolitical,topic-17,15466
NonPolitical,topic-13,15164
NonPolitical,topic-19,12430
NonPolitical,topic-18,9308
NonPolitical,topic-16,9077
NonPolitical,topic-25,5752
NonPolitical,topic-12,5475
NonPolitical,topic-23,5412
NonPolitical,topic-22,4145
NonPolitical,topic-24,4122
NonPolitical,topic-14,4105
NonPolitical,topic-15,3936
NonPolitical,topic-9,3869
NonPolitical,topic-20,1584
Policy/Economy,topic-2,24449
Policy/Economy,topic-1,21695
Policy/Economy,topic-5,12545
Policy/Economy,topic-7,11618
Policy/Economy,topic-4,10521
Policy/Economy,topic-10,9145
Policy/Economy,topic-21,7545
Policy/Economy,topic-6,7422
Policy/Economy,topic-18,5435
Policy/Economy,topic-11,4158
Policy/Economy,topic-8,3844
Policy/Economy,topic-3,3629
Policy/Economy,topic-24,2674
Policy/Economy,topic-19,2540
Policy/Economy,topic-17,2431
Policy/Economy,topic-13,2282
Policy/Economy,topic-15,1930
Policy/Economy,topic-22,1636
Policy/Economy,topic-12,1501
Policy/Economy,topic-25,1489
Policy/Economy,topic-16,1268
Policy/Economy,topic-9,750
Policy/Economy,topic-23,555
Policy/Economy,topic-20,477
Policy/Economy,topic-14,453
Politics,topic-1,84462
Politics,topic-2,78835
Politics,topic-5,49359
Politics,topic-7,38506
Politics,topic-4,33008
Politics,topic-10,29233
Politics,topic-21,27344
Politics,topic-8,25838
Politics,topic-6,19347
Politics,topic-11,15331
Politics,topic-3,11601
Politics,topic-18,8802
Politics,topic-17,8357
Politics,topic-19,8310
Politics,topic-13,8182
Politics,topic-25,4931
Politics,topic-12,4435
Politics,topic-16,4031
Politics,topic-22,3316
Politics,topic-15,3141
Politics,topic-24,2565
Politics,topic-23,2458
Politics,topic-9,1832
Politics,topic-14,1759
Politics,topic-20,1264
Science/Technology,topic-1,13490
Science/Technology,topic-2,13275
Science/Technology,topic-7,9926
Science/Technology,topic-5,8142
Science/Technology,topic-10,7626
Science/Technology,topic-4,5287
Science/Technology,topic-6,5236
Science/Technology,topic-3,4510
Science/Technology,topic-21,4380
Science/Technology,topic-11,4095
Science/Technology,topic-19,2736
Science/Technology,topic-17,2574
Science/Technology,topic-8,2377
Science/Technology,topic-14,2323
Science/Technology,topic-18,2318
Science/Technology,topic-13,1976
Science/Technology,topic-15,1558
Science/Technology,topic-12,1473
Science/Technology,topic-16,1409
Science/Technology,topic-9,1158
Science/Technology,topic-22,777
Science/Technology,topic-25,770
Science/Technology,topic-23,682
Science/Technology,topic-24,539
Science/Technology,topic-20,411
[R]eddiquette,topic-1,16735
[R]eddiquette,topic-2,14342
[R]eddiquette,topic-7,7614
[R]eddiquette,topic-5,7105
[R]eddiquette,topic-8,5242
[R]eddiquette,topic-3,4746
[R]eddiquette,topic-11,4353
[R]eddiquette,topic-4,4287
[R]eddiquette,topic-10,3997
[R]eddiquette,topic-13,2613
[R]eddiquette,topic-17,2588
[R]eddiquette,topic-6,2580
[R]eddiquette,topic-21,2532
[R]eddiquette,topic-19,1852
[R]eddiquette,topic-18,1482
[R]eddiquette,topic-16,1460
[R]eddiquette,topic-23,1084
[R]eddiquette,topic-25,961
[R]eddiquette,topic-12,888
[R]eddiquette,topic-24,732
[R]eddiquette,topic-22,663
[R]eddiquette,topic-15,578
[R]eddiquette,topic-14,527
[R]eddiquette,topic-9,524
[R]eddiquette,topic-20,288
